CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,Credit_Card_Status,IsActiveMember,Activity_Status,EstimatedSalary,Exited,Churn_Status
619,France,Female,42,2,0.0,1,1,Has Credit Card,1,Active,101348.88,1,Churned
608,Spain,Female,41,1,83807.86,1,0,No Credit Card,1,Active,112542.58,0,Retained
502,France,Female,42,8,159660.8,3,1,Has Credit Card,0,Inactive,113931.57,1,Churned
699,France,Female,39,1,0.0,2,0,No Credit Card,0,Inactive,93826.63,0,Retained
850,Spain,Female,43,2,125510.82,1,1,Has Credit Card,1,Active,79084.1,0,Retained
645,Spain,Male,44,8,113755.78,2,1,Has Credit Card,0,Inactive,149756.71,1,Churned
822,France,Male,50,7,0.0,2,1,Has Credit Card,1,Active,10062.8,0,Retained
376,Germany,Female,29,4,115046.74,4,1,Has Credit Card,0,Inactive,119346.88,1,Churned
501,France,Male,44,4,142051.07,2,0,No Credit Card,1,Active,74940.5,0,Retained
684,France,Male,27,2,134603.88,1,1,Has Credit Card,1,Active,71725.73,0,Retained
528,France,Male,31,6,102016.72,2,0,No Credit Card,0,Inactive,80181.12,0,Retained
497,Spain,Male,24,3,0.0,2,1,Has Credit Card,0,Inactive,76390.01,0,Retained
476,France,Female,34,10,0.0,2,1,Has Credit Card,0,Inactive,26260.98,0,Retained
549,France,Female,25,5,0.0,2,0,No Credit Card,0,Inactive,190857.79,0,Retained
635,Spain,Female,35,7,0.0,2,1,Has Credit Card,1,Active,65951.65,0,Retained
616,Germany,Male,45,3,143129.41,2,0,No Credit Card,1,Active,64327.26,0,Retained
653,Germany,Male,58,1,132602.88,1,1,Has Credit Card,0,Inactive,5097.67,1,Churned
549,Spain,Female,24,9,0.0,2,1,Has Credit Card,1,Active,14406.41,0,Retained
587,Spain,Male,45,6,0.0,1,0,No Credit Card,0,Inactive,158684.81,0,Retained
726,France,Female,24,6,0.0,2,1,Has Credit Card,1,Active,54724.03,0,Retained
732,France,Male,41,8,0.0,2,1,Has Credit Card,1,Active,170886.17,0,Retained
636,Spain,Female,32,8,0.0,2,1,Has Credit Card,0,Inactive,138555.46,0,Retained
510,Spain,Female,38,4,0.0,1,1,Has Credit Card,0,Inactive,118913.53,1,Churned
669,France,Male,46,3,0.0,2,0,No Credit Card,1,Active,8487.75,0,Retained
846,France,Female,38,5,0.0,1,1,Has Credit Card,1,Active,187616.16,0,Retained
577,France,Male,25,3,0.0,2,0,No Credit Card,1,Active,124508.29,0,Retained
756,Germany,Male,36,2,136815.64,1,1,Has Credit Card,1,Active,170041.95,0,Retained
571,France,Male,44,9,0.0,2,0,No Credit Card,0,Inactive,38433.35,0,Retained
574,Germany,Female,43,3,141349.43,1,1,Has Credit Card,1,Active,100187.43,0,Retained
411,France,Male,29,0,59697.17,2,1,Has Credit Card,1,Active,53483.21,0,Retained
591,Spain,Female,39,3,0.0,3,1,Has Credit Card,0,Inactive,140469.38,1,Churned
533,France,Male,36,7,85311.7,1,0,No Credit Card,1,Active,156731.91,0,Retained
553,Germany,Male,41,9,110112.54,2,0,No Credit Card,0,Inactive,81898.81,0,Retained
520,Spain,Female,42,6,0.0,2,1,Has Credit Card,1,Active,34410.55,0,Retained
722,Spain,Female,29,9,0.0,2,1,Has Credit Card,1,Active,142033.07,0,Retained
475,France,Female,45,0,134264.04,1,1,Has Credit Card,0,Inactive,27822.99,1,Churned
490,Spain,Male,31,3,145260.23,1,0,No Credit Card,1,Active,114066.77,0,Retained
804,Spain,Male,33,7,76548.6,1,0,No Credit Card,1,Active,98453.45,0,Retained
850,France,Male,36,7,0.0,1,1,Has Credit Card,1,Active,40812.9,0,Retained
582,Germany,Male,41,6,70349.48,2,0,No Credit Card,1,Active,178074.04,0,Retained
472,Spain,Male,40,4,0.0,1,1,Has Credit Card,0,Inactive,70154.22,0,Retained
465,France,Female,51,8,122522.32,1,0,No Credit Card,0,Inactive,181297.65,1,Churned
556,France,Female,61,2,117419.35,1,1,Has Credit Card,1,Active,94153.83,0,Retained
834,France,Female,49,2,131394.56,1,0,No Credit Card,0,Inactive,194365.76,1,Churned
660,Spain,Female,61,5,155931.11,1,1,Has Credit Card,1,Active,158338.39,0,Retained
776,Germany,Female,32,4,109421.13,2,1,Has Credit Card,1,Active,126517.46,0,Retained
829,Germany,Female,27,9,112045.67,1,1,Has Credit Card,1,Active,119708.21,1,Churned
637,Germany,Female,39,9,137843.8,1,1,Has Credit Card,1,Active,117622.8,1,Churned
550,Germany,Male,38,2,103391.38,1,0,No Credit Card,1,Active,90878.13,0,Retained
776,Germany,Female,37,2,103769.22,2,1,Has Credit Card,0,Inactive,194099.12,0,Retained
698,Germany,Male,44,10,116363.37,2,1,Has Credit Card,0,Inactive,198059.16,0,Retained
585,Germany,Male,36,5,146050.97,2,0,No Credit Card,0,Inactive,86424.57,0,Retained
788,France,Female,33,5,0.0,2,0,No Credit Card,0,Inactive,116978.19,0,Retained
655,Germany,Male,41,8,125561.97,1,0,No Credit Card,0,Inactive,164040.94,1,Churned
601,Germany,Male,42,1,98495.72,1,1,Has Credit Card,0,Inactive,40014.76,1,Churned
619,France,Male,43,1,125211.92,1,1,Has Credit Card,1,Active,113410.49,0,Retained
656,France,Male,45,5,127864.4,1,1,Has Credit Card,0,Inactive,87107.57,0,Retained
725,Germany,Male,19,0,75888.2,1,0,No Credit Card,0,Inactive,45613.75,0,Retained
511,Spain,Female,66,4,0.0,1,1,Has Credit Card,0,Inactive,1643.11,1,Churned
614,France,Male,51,4,40685.92,1,1,Has Credit Card,1,Active,46775.28,0,Retained
742,Germany,Male,35,5,136857.0,1,0,No Credit Card,0,Inactive,84509.57,0,Retained
687,Germany,Female,27,9,152328.88,2,0,No Credit Card,0,Inactive,126494.82,0,Retained
555,Spain,Male,33,1,56084.69,2,0,No Credit Card,0,Inactive,178798.13,0,Retained
684,Spain,Male,56,8,78707.16,1,1,Has Credit Card,1,Active,99398.36,0,Retained
603,Germany,Male,26,4,109166.37,1,1,Has Credit Card,1,Active,92840.67,0,Retained
