Model,Training_Strategy,Accuracy,Balanced_Accuracy,Precision_Churn,Recall_Churn,F1_Churn,ROC_AUC,PR_AUC,True_Negatives,False_Positives,False_Negatives,True_Positives
Gradient Boosting,SMOTE,0.813,0.7738,0.5304,0.7076,0.6063,0.8612,0.6978,1338,255,119,288
Random Forest,SMOTE,0.836,0.7461,0.5975,0.5946,0.5961,0.843,0.6559,1430,163,165,242
Gradient Boosting,Original,0.866,0.7174,0.7884,0.4668,0.5864,0.8703,0.7163,1542,51,217,190
Random Forest,Original,0.8625,0.7143,0.7683,0.4644,0.5789,0.849,0.6873,1536,57,218,189
Decision Tree,Class Weighted,0.7755,0.763,0.4675,0.742,0.5736,0.8362,0.6358,1249,344,105,302
Extra Trees,Original,0.856,0.7111,0.728,0.4668,0.5689,0.8431,0.6616,1522,71,217,190
Extra Trees,Class Weighted,0.857,0.7072,0.743,0.4545,0.564,0.8456,0.6587,1529,64,222,185
Random Forest,Class Weighted,0.8605,0.7048,0.7759,0.4423,0.5634,0.8482,0.6808,1541,52,227,180
Decision Tree,SMOTE,0.768,0.7519,0.456,0.7248,0.5598,0.8182,0.6146,1241,352,112,295
Extra Trees,SMOTE,0.819,0.7181,0.5561,0.5479,0.552,0.8339,0.6219,1415,178,184,223
Decision Tree,Original,0.8535,0.6968,0.7395,0.4324,0.5457,0.8466,0.6471,1531,62,231,176
Logistic Regression,Class Weighted,0.7125,0.7098,0.3868,0.7052,0.4996,0.7764,0.4675,1138,455,120,287
Logistic Regression,SMOTE,0.7125,0.6924,0.3807,0.6585,0.4824,0.7598,0.4489,1157,436,139,268
Logistic Regression,Original,0.8065,0.5758,0.5758,0.1867,0.282,0.7751,0.4807,1537,56,331,76
