Feature,Importance
Age,0.4690843815635353
NumOfProducts,0.189811135605045
ProductEngagementScore,0.10516209144107572
Gender_Male,0.050411644105045235
Tenure,0.03370512523137777
CustomerValueScore,0.03320082591506565
Geography_Germany,0.020104682865296826
Geography_Spain,0.019527481752289636
Balance,0.01932007388010494
IsActiveMember,0.016994576487663605
ProductsPerYear,0.013540386376710125
EstimatedSalary,0.007008946171430291
BalanceSalaryRatio,0.006198706043402819
CreditScore,0.005300751525788835
HasCrCard,0.00411318757476834
ActiveBalance,0.0033810488592059605
AgeTenureRatio,0.003134954602193834
