Threshold,Accuracy,Balanced_Accuracy,Precision_Churn,Recall_Churn,F1_Churn,False_Positives,False_Negatives,True_Positives,True_Negatives
0.2,0.560625,0.7001305005248915,0.3090172239108409,0.9355828220858896,0.4645849200304646,682,21,305,592
0.21,0.57875,0.7092294208858626,0.31761006289308175,0.9294478527607362,0.4734375,651,23,303,623
0.22,0.595,0.7160096695591875,0.32537960954446854,0.9202453987730062,0.4807692307692308,622,26,300,652
0.23,0.61,0.723146266529264,0.3333333333333333,0.9141104294478528,0.4885245901639344,596,28,298,678
0.24,0.616875,0.7263221003361231,0.337116912599319,0.911042944785276,0.49212924606462305,584,29,297,690
0.25,0.63,0.7322813032716626,0.3446261682242991,0.9049079754601227,0.49915397631133673,561,31,295,713
0.26,0.644375,0.7401667132166694,0.35379061371841153,0.901840490797546,0.5082108902333622,537,32,294,737
0.27,0.654375,0.7418810374550953,0.3593556381660471,0.8895705521472392,0.5119152691968226,517,36,290,757
0.28,0.66375,0.7443441746684516,0.3651399491094148,0.8803680981595092,0.5161870503597122,499,39,287,775
0.29,0.6775,0.7495545646290607,0.37467018469656993,0.8711656441717791,0.5239852398523985,474,42,284,800
0.3,0.689375,0.7535875605551329,0.38335607094133695,0.8619631901840491,0.5306893295561851,452,45,281,822
0.31,0.695,0.752554632046306,0.38687150837988826,0.8496932515337423,0.5316698656429942,439,49,277,835
0.32,0.705,0.754268956284732,0.3945086705202312,0.8374233128834356,0.5363457760314342,419,53,273,855
0.33,0.71,0.7539848407508355,0.39823008849557523,0.8282208588957055,0.5378486055776892,408,56,270,866
0.34,0.7175,0.7529880286234362,0.40396341463414637,0.8128834355828221,0.539714867617108,391,61,265,883
0.35,0.726875,0.7565924434899018,0.41287284144427,0.8067484662576687,0.5462097611630322,374,63,263,900
0.36,0.729375,0.7501733586308521,0.4135702746365105,0.7852760736196319,0.5417989417989418,363,70,256,911
0.37,0.735625,0.7518154501064229,0.41983471074380163,0.7791411042944786,0.5456498388829216,351,72,254,923
0.38,0.740625,0.7526726122256359,0.42495784148397975,0.7730061349693251,0.5484221980413493,341,74,252,933
0.39,0.74875,0.7543508200826343,0.4337979094076655,0.7638036809815951,0.5533333333333333,325,77,249,949
0.4,0.754375,0.7544591692269168,0.4400715563506261,0.754601226993865,0.5559322033898305,313,80,246,961
0.41,0.76,0.7534262407180901,0.44649446494464945,0.7423312883435583,0.5576036866359447,300,84,242,974
0.42,0.7675,0.7569945392031281,0.4564393939393939,0.7392638036809815,0.5644028103044496,287,85,241,987
0.43,0.76625,0.7459381109687858,0.453125,0.7116564417177914,0.5536992840095465,280,94,232,994
0.44,0.77125,0.74451271778178,0.4596774193548387,0.6993865030674846,0.5547445255474452,268,98,228,1006
0.45,0.7775,0.7472960869104602,0.4690082644628099,0.696319018404908,0.5604938271604938,257,99,227,1017
0.46,0.780625,0.745834577342027,0.47357293868921774,0.6871165644171779,0.5607008760951189,249,102,224,1025
0.47,0.785,0.7474405524361704,0.48060344827586204,0.6840490797546013,0.5645569620253165,241,103,223,1033
0.48,0.789375,0.7490465275303136,0.4879120879120879,0.6809815950920245,0.5685019206145967,233,104,222,1041
0.49,0.795,0.7525787096339243,0.4977578475336323,0.6809815950920245,0.5751295336787565,224,104,222,1050
0.5,0.803125,0.7576807504502509,0.5127020785219399,0.6809815950920245,0.5849802371541502,211,104,222,1063
0.51,0.806875,0.7588942608662153,0.52,0.6779141104294478,0.5885486018641811,204,105,221,1070
0.52,0.8125,0.7578613323573884,0.5318627450980392,0.6656441717791411,0.5912806539509536,191,109,217,1083
0.53,0.815625,0.7575411004420645,0.5388471177944862,0.6595092024539877,0.593103448275862,184,111,215,1090
0.54,0.819375,0.7576133332049195,0.5475578406169666,0.6533742331288344,0.5958041958041959,176,113,213,1098
0.55,0.821875,0.7546180813051979,0.5543766578249337,0.6411042944785276,0.5945945945945946,168,117,209,1106
0.56,0.8275,0.7547264304494804,0.569060773480663,0.6319018404907976,0.5988372093023255,156,120,206,1118
0.57,0.826875,0.7486275775057545,0.5694050991501416,0.6165644171779141,0.5920471281296024,152,125,201,1122
0.58,0.829375,0.7479148809122517,0.5768115942028985,0.6104294478527608,0.5931445603576752,146,127,199,1128
0.59,0.83125,0.7456684419874604,0.5833333333333334,0.6012269938650306,0.5921450151057401,140,130,196,1134
0.6,0.835,0.744599397097206,0.595679012345679,0.5920245398773006,0.5938461538461538,131,133,193,1143
0.61,0.838125,0.7431378875287726,0.6070287539936102,0.5828220858895705,0.594679186228482,123,136,190,1151
0.62,0.84125,0.7428176556134487,0.618421052631579,0.5766871165644172,0.5968253968253968,116,138,188,1158
0.63,0.844375,0.7413561460450155,0.6313993174061433,0.5674846625766872,0.5977382875605816,108,141,185,1166
0.64,0.841875,0.7317973437605338,0.6289752650176679,0.5460122699386503,0.5845648604269293,105,148,178,1169
0.65,0.84375,0.7318334601419614,0.6366906474820144,0.5429447852760736,0.5860927152317881,101,149,177,1173
0.66,0.844375,0.7265195365545936,0.6441947565543071,0.5276073619631901,0.5801011804384486,95,154,172,1179
0.67,0.848125,0.7243092140112297,0.6640316205533597,0.5153374233128835,0.5803108808290155,85,158,168,1189
0.68,0.850625,0.7224552397646176,0.6790123456790124,0.5061349693251533,0.5799648506151143,78,161,165,1196
0.69,0.853125,0.7206012655180052,0.6952789699570815,0.49693251533742333,0.5796064400715564,71,164,162,1203
0.7,0.85125,0.712576205564812,0.6964285714285714,0.4785276073619632,0.5672727272727273,68,170,156,1206
0.71,0.851875,0.7084035596305535,0.7069767441860465,0.4662576687116564,0.5619223659889094,63,174,152,1211
0.72,0.850625,0.7019122420086487,0.7101449275362319,0.450920245398773,0.551594746716698,60,179,147,1214
0.73,0.849375,0.6954209243867439,0.7135678391959799,0.43558282208588955,0.540952380952381,57,184,142,1217
0.74,0.8525,0.6951006924714199,0.7368421052631579,0.4294478527607362,0.5426356589147286,50,186,140,1224
0.75,0.85625,0.6940316475811655,0.7696629213483146,0.42024539877300615,0.5436507936507936,41,189,137,1233
0.76,0.854375,0.6871478652810817,0.7719298245614035,0.4049079754601227,0.5311871227364185,39,194,132,1235
0.77,0.85,0.6741291136558446,0.76875,0.3773006134969325,0.5061728395061729,37,203,123,1237
0.78,0.849375,0.6657477054059,0.7891156462585034,0.3558282208588957,0.4904862579281184,31,210,116,1243
0.79,0.84875,0.6585075748090647,0.8088235294117647,0.3374233128834356,0.47619047619047616,26,216,110,1248
0.8,0.8475,0.6531575348402693,0.8153846153846154,0.32515337423312884,0.4649122807017544,24,220,106,1250
0.81,0.844375,0.6397824349182807,0.8347826086956521,0.294478527607362,0.43537414965986393,19,230,96,1255
