,Count,Mean,Standard_Deviation,Minimum,Q1,Median,Q3,Maximum
Year,10000.0,2025.0,0.0,2025.0,2025.0,2025.0,2025.0,2025.0
CustomerId,10000.0,15690940.5694,71936.18612274883,15565701.0,15628528.25,15690738.0,15753233.75,15815690.0
CreditScore,10000.0,650.5288,96.65329873613061,350.0,584.0,652.0,718.0,850.0
Age,10000.0,38.9218,10.487806451704591,18.0,32.0,37.0,44.0,92.0
Tenure,10000.0,5.0128,2.892174377049708,0.0,3.0,5.0,7.0,10.0
Balance,10000.0,76485.889288,62397.40520238623,0.0,0.0,97198.54000000001,127644.24,250898.09
NumOfProducts,10000.0,1.5302,0.5816543579989936,1.0,1.0,1.0,2.0,4.0
HasCrCard,10000.0,0.7055,0.45584046447514237,0.0,0.0,1.0,1.0,1.0
IsActiveMember,10000.0,0.5151,0.4997969284589202,0.0,0.0,1.0,1.0,1.0
EstimatedSalary,10000.0,100090.239881,57510.49281769822,11.58,51002.11,100193.915,149388.2475,199992.48
Exited,10000.0,0.2037,0.40276858399484955,0.0,0.0,0.0,0.0,1.0
