Feature,Importance
Age,0.17073468395384844
NumOfProducts,0.08485877901346806
ProductEngagementScore,0.03833265132235033
Gender_Male,0.01390782718200707
CustomerValueScore,0.013387408530638112
IsActiveMember,0.00944665490180242
Geography_Germany,0.005754614496097576
Geography_Spain,0.0030148143502285564
ProductsPerYear,0.002350012268597701
AgeTenureRatio,0.0022717223168060353
Tenure,0.0020609456987361495
EstimatedSalary,0.0009727027636775131
ActiveBalance,0.0007754562784423547
CreditScore,0.0004473112995119877
BalanceSalaryRatio,-0.00030212809344971615
HasCrCard,-0.0003729367071446443
Balance,-0.0030086927005633425
